Length,counts_length,Study
75,105470,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
76,480139,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
77,65236,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
78,62158,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
79,61169,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
80,59791,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
81,54948,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
82,54303,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
83,53187,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
84,49823,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
85,48536,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
86,47923,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
87,45110,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
88,43077,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
89,42300,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
90,39998,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
91,39380,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
92,38753,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
93,37024,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
94,35831,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
95,34355,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
96,32497,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
97,31765,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
98,31096,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
99,29880,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
100,28792,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
101,27878,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
102,26293,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
103,25663,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
104,25494,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
105,24000,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
106,23680,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
